# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: 344Lab2
# Creation date: 09/20/2023 10:56:53
# 
# 09/20/2023 10:56:53
# The parameters defined in the project are:
# ,P1 - Mesh Element Size [mm],P2 - Total Deformation Minimum [mm],P3 - Total Deformation Maximum [mm],P4 - Total Deformation Average [mm],P5 - Equivalent Stress Minimum [MPa],P6 - Equivalent Stress Maximum [MPa],P7 - Equivalent Stress Average [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7
DP 0,60,0,3.1636616345204196,1.1790434392839935,0,5.7759174424479918,0.61932943762452541
DP 1,50,0,3.1186925223147526,1.1787025085620249,0,4.1115684782775164,0.61802290433676621
DP 2,40,0,3.1186925223147526,1.1787025085620249,0,4.1115684782775164,0.61802290433676621
DP 3,30,0,3.1186925223147526,1.1787025085620249,0,4.1115684782775164,0.61802290433676621
DP 4,20,0,3.1186925223147526,1.1787025085620249,0,4.1115684782775164,0.61802290433676621
DP 5,10,0,3.1186925223147526,1.1787025085620249,0,4.1115684782775164,0.61802290433676621
DP 6,70,0,3.163631809671454,1.1797205788560812,0,5.7764159187037842,0.61780886374984734
DP 7,80,0,3.1636287136893029,1.179112881384965,0,5.7768953823237,0.61914141083153706
DP 8,90,0,3.1635821129243142,1.1770212020048714,0,5.8462500266528963,0.61970879493772946
DP 9,100,0,3.16368640358639,1.1800806612055661,0,5.775247407712401,0.61925636100001569
DP 10,110,0,3.1636198915441582,1.1802268315893631,0,5.7770950813685618,0.61847920012300928
DP 11,120,0,3.1636291902296017,1.1781977556958785,0,5.7769212548191264,0.61929915680053327
# 
# A non parametric change occurred and invalidated design point results.
# 09/20/2023 11:13:28
# 
# 
# A non parametric change occurred and invalidated design point results.
# 09/20/2023 11:24:39
# 
